product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
P3_RF,P3_RF-EL-001,Open circuit: ANT1 / VDD_RF,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, ANT1, VDD_RF"
P3_RF,P3_RF-EL-002,Open circuit: R44 / SPI_MISO,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, R44, SPI_MISO"
P3_RF,P3_RF-EL-003,Open circuit: ANT1 / ANT_FEED,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, ANT1, ANT_FEED"
P3_RF,P3_RF-EL-004,Open circuit: SH1 / VDD_RF,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, SH1, VDD_RF"
P3_RF,P3_RF-EL-005,Open circuit: ANT1 / RF_OUT,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, ANT1, RF_OUT"
P3_RF,P3_RF-EL-006,Open circuit: L2 / ANT_FEED,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, L2, ANT_FEED"
P3_RF,P3_RF-EL-007,Short circuit: TP2 / SPI_MISO,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, TP2, SPI_MISO, bridge"
P3_RF,P3_RF-EL-008,Short circuit: C33 / VDD_RF,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, C33, VDD_RF, bridge"
P3_RF,P3_RF-EL-009,Short circuit: TP2 / RF_IN,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, TP2, RF_IN, bridge"
P3_RF,P3_RF-EL-010,Short circuit: ANT1 / RF_IN,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, ANT1, RF_IN, bridge"
P3_RF,P3_RF-EL-011,Short circuit: C33 / RF_OUT,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, C33, RF_OUT, bridge"
P3_RF,P3_RF-EL-012,Short circuit: J1 / RF_OUT,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, J1, RF_OUT, bridge"
P3_RF,P3_RF-SD-013,Cold solder suspected: ANT1,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, ANT1"
P3_RF,P3_RF-SD-014,Cold solder suspected: R44,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, R44"
P3_RF,P3_RF-SD-015,Cold solder suspected: SH1,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, SH1"
P3_RF,P3_RF-SD-016,Cold solder suspected: TP2,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, TP2"
P3_RF,P3_RF-SD-017,Cold solder suspected: R44,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, R44"
P3_RF,P3_RF-SD-018,Cold solder suspected: ANT1,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, ANT1"
P3_RF,P3_RF-TS-019,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;RF_CAL;BST,"fixture, pogo, 接触不良, 探针, reseat"
P3_RF,P3_RF-TS-020,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;RF_CAL;BST,"fixture, pogo, 接触不良, 探针, reseat"
P3_RF,P3_RF-TS-021,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;RF_CAL;BST,"fixture, pogo, 接触不良, 探针, reseat"
P3_RF,P3_RF-TS-022,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;RF_CAL;BST,"fixture, pogo, 接触不良, 探针, reseat"
P3_RF,P3_RF-TS-023,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;RF_CAL;BST,"fixture, pogo, 接触不良, 探针, reseat"
P3_RF,P3_RF-TS-024,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;RF_CAL;BST,"fixture, pogo, 接触不良, 探针, reseat"
P3_RF,P3_RF-SW-025,Programming failed (flash write),FW_SW,FLASH_FAIL,RF_CAL;FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P3_RF,P3_RF-SW-026,Programming failed (flash write),FW_SW,FLASH_FAIL,RF_CAL;FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P3_RF,P3_RF-SW-027,Programming failed (flash write),FW_SW,FLASH_FAIL,RF_CAL;FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P3_RF,P3_RF-SW-028,Programming failed (flash write),FW_SW,FLASH_FAIL,RF_CAL;FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P3_RF,P3_RF-SW-029,Programming failed (flash write),FW_SW,FLASH_FAIL,RF_CAL;FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P3_RF,P3_RF-SW-030,Programming failed (flash write),FW_SW,FLASH_FAIL,RF_CAL;FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
